Cast % (All)
 combo 29436+490183 == -3s
 on 311145 == -2s
 on 310523 == -2s
 combo 18973+490412 == -2s
 combo 2995+15343 == -2s
 on 24469 == -100-100*(.@r/4) ^FF0000หาร 1000^000000s
 combo 18973+490240 == -0.5s
 on 310004 == -(100*getskilllv("ws_overthrustmax")) ^FF0000หาร 1000^000000s

Cooldown | Axe Stomp
 combo 470325+620009 == -0.4s
 combo 29509+311903 == -0.3s

Cooldown | Axe Tornado
 combo 29509+312834 == -2s
 combo 4688+490596 == -2s
 on 470289 == -2s
 on 470283 == -2s
 on 450432 == -2s
 combo 22129+28114 == -200*getskilllv("nc_researchfe") ^FF0000หาร 1000^000000s
 on 311206 == -1s
 on 28127 == -1s
 combo 520000+450001+470000+480000+490004 == -1s
 combo 1326+420252 == -1s
 combo 18973+490607 == -1s
 combo 28100+400647 == -1s
 on 1335 == -1s
 on 311032 == -1s
 on 28101 == -1s
 combo 29484+29482 == -1s
 on 620003 == -1s
 on 620015 == -1s
 on 620012 == -1s
 on 28137 == -1s
 on 620004 == -1s
 on 620009 == -1s
 on 520002 == -1s
 on 28141 == -1s
 on 28138 == -1s
 on 28120 == -100*getskilllv("bs_weaponresearch") ^FF0000หาร 1000^000000s
 combo 490391+620004 == -0.7s
 combo 29725+1335 == -0.5s
 combo 490206+450098 == -0.5s
 combo 28561+22129+28114 == -0.5s
 combo 22234+28127 == -0.5s
 on 15891 == -0.5s

Cooldown | Banishing Buster
 combo 490190+820001 == -1s
 combo 19202+29347 == -1s
 on 400549 == -1.5s
 combo 19202+29348 == -1.5s
 combo 28242+400597 == -1.3s

Cooldown | Basilica
 on 310153 == -5s
 on 310153 == -3s
 on 310153 == -2s

Cooldown | Blazing Flame Blast
 combo 400984+560081 == -0.3s
 combo 560072+400538 == -0.3s

Cooldown | Book of Dimension
 on 400547 == -5s
 on 400547 == -5s
 on 400547 == -5s
 on 400083 == -5s
 combo 15433+490084 == -10s

Cooldown | Bowling Bash
 on 21051 == -1s

Cooldown | Cannon Spear
 on 24580 == -200-100*(.@r/3) ^FF0000หาร 1000^000000s
 on 29300 == -1s
 combo 29509+312815 == -1s
 combo 29725+5546 == -100*.@r ^FF0000หาร 1000^000000s
 on 450257 == -1.5s
 combo 18983+480453 == -1.5s
 combo 420246+450257 == -1.5s
 on 311200 == -0.5s
 combo 1496+400648 == -0.5s
 combo 18983+480365 == -0.5s
 combo 490173+18983 == -0.5s
 combo 400264+530031 == -0.5s
 combo 24693+24694+24695+24696+24697+24699 == -0.5s
 combo 400079+32025 == -0.5s
 combo 24590+24584+24585+24586+24587+24588 == -0.5s
 combo 29520+29518 == -0.5s

Cooldown | Cart Tornado
 on 480153 == -500*(.@r/4) ^FF0000หาร 1000^000000s
 combo 1326+420252 == -1s
 combo 24693+24694+24695+24696+24697+24701 == -1s
 combo 24592+24584+24585+24586+24587+24588 == -1s
 combo 24291+24304 == -1s
 combo 19477+490260 == -100*(.@r/2) ^FF0000หาร 1000^000000s
 combo 490391+500014 == -1.8s
 combo 310261+310262 == -0.7s
 combo 22257+19190 == -0.3s
 combo 400234+590024 == -0.3s
 combo 29509+312840 == -0.2s
 combo 29725+1100 == -0.2s
 combo 400234+590022 == -0.2s

Cooldown | Catnip Meteor
 on 550067 == -2s
 on 550065 == -2s
 on 550060 == -2s
 on 550027 == -2s
 combo 22257+19205 == -1s
 combo 400265+550076 == -1s
 combo 26164+400044 == -1s
 combo 29671+29670 == -1s
 on 311261 == -1.5s
 on 550051 == -1.5s
 on 550043 == -1.5s
 on 550009 == -1.5s
 on 24317 == -(.@r*100) ^FF0000หาร 1000^000000s

Cooldown | Catnip Powdering
 on 450373 == -2.5s

Cooldown | Chain Lightning
 combo 22170+1620 == -1s
 on 490098 == -0.5s

Cooldown | Chain Reaction Shot
 combo 29509+311892 == -0.3s
 combo 29509+312930 == -0.2s

Cooldown | Chasing Break
 combo 401059+510199 == -0.3s

Cooldown | Chasing Shot
 on 700121 == -0.3s

Cooldown | Chattering
 on 24411 == -3000*(1+.@r/2) ^FF0000หาร 1000^000000s

Cooldown | Chulho Battering
 combo 401060+550187 == -0.3s

Cooldown | Chulho Sonic Claw
 combo 29509+312975 == -0.2s
 combo 550159+400546 == 0.2s

Cooldown | Cicada Skin Sheeding
 on 2582 == 30s
 combo 32285+480024 == 30s
 combo 18984+490401 == 10s

Cooldown | Clearance
 on 550149 == -5s
 on 450297 == -5s
 on 450297 == -5s
 on 15365 == -5s
 combo 15082+20719+22027 == -3s
 combo 1660+2471+2569+15029 == -3s
 combo 1657+2471+2569+15029 == -2s
 on 1586 == -10s

Cooldown | Cloud Kill
 combo 311011+29435 == -2s

Cooldown | Cold Bolt
 combo 29371+312819 == 10s

Cooldown | Coluceo Heal
 combo 15922+20745 == -2s

Cooldown | Comet
 on 15897 == -45s
 combo 2198+15897 == 45s
 on 15897 == -40s
 combo 2198+15897 == 40s
 on 490608 == -20s
 on 460065 == -20s
 on 460064 == -20s
 combo 4556+400697 == -20s
 combo 4556+400401 == -20s
 combo 5966+470086 == -20s
 combo 2198+5966 == -20000+(.@r >= 9 ? -20000 : 0) ^FF0000หาร 1000^000000s
 on 640005 == -10s
 combo 2056+470298 == -10s
 combo 5966+2198+4876 == +20000+(.@r > 9 ? +20000 : 0) ^FF0000หาร 1000^000000s

Cooldown | Conflagration
 combo 29371+312303 == -2s
 combo 29371+312942 == -0.5s
 on 460097 == -0.3s
 on 460097 == -0.3s

Cooldown | Crazy Weed
 on 19453 == -4.5s
 on 16094 == -2s
 on 24571 == -200-100*(.@r/3) ^FF0000หาร 1000^000000s
 combo 29602+16094 == -200*.@r ^FF0000หาร 1000^000000s
 on 311213 == -2.5s
 on 310526 == -1s
 on 32403 == -1s
 combo 16094+470294 == -1s
 on 311148 == -1.5s

Cooldown | Crescent Elbow
 on 450297 == -3s
 on 15365 == -3s

Cooldown | Crescive Bolt
 combo 29509+312036 == -0.2s
 combo 29509+312939 == -0.10s

Cooldown | Crimson Arrow
 combo 29371+312473 == -0.3s
 combo 29371+312928 == -0.2s

Cooldown | Crimson Marker
 on 19202 == -1s
 combo 28240+400597 == -1s

Cooldown | Crimson Rock
 combo 470327+640017 == -5s
 combo 490289+490419 == -4s
 on 400551 == -3s
 combo 29598+470259 == -3s
 combo 29371+313319 == -2s
 combo 490098+29371 == -2s
 combo 26151+480154 == -1s
 on 470095 == -1s
 on 26158 == -1s
 combo 26158+470298 == -1s
 combo 400094+26158 == -1s
 on 470245 == -1s
 combo 490289+490419 == -1s
 on 18978 == -1000-(.@r*100) ^FF0000หาร 1000^000000s
 on 29300 == -1.5s
 combo 4686+490596 == -1.5s
 combo 32242+18978 == -0.5s
 combo 29371+312832 == -0.10s

Cooldown | Cross Rain
 combo 401058+530076 == -1s
 combo 29371+312035 == -1s
 combo 500092+400530 == -1s

Cooldown | Cross Slash
 on 311255 == -2s
 on 650021 == -2s
 on 650018 == -2s
 on 650013 == -2s
 on 650009 == -2s
 on 13347 == -2s
 combo 510060+28763 == -2s
 combo 510068+510022 == -2s
 combo 510068+510067 == -2s
 on 650003 == -1s
 on 510056 == -1s
 combo 24741+24584+24585+24586+24587+24588 == -1s
 combo 510002+450004+470003+480003+490007 == -1s
 combo 24403+24406 == -1s
 combo 650046+400541 == -1.5s
 combo 29509+310968 == -0.6s

Cooldown | Curse Explosion
 on 400547 == -1s
 combo 15481+490373 == -0.8s
 on 490481 == -0.5s
 on 490102 == -0.5s
 on 450404 == -0.5s
 on 400083 == -0.5s
 combo 29371+313315 == -0.5s
 combo 29371+312844 == -0.5s
 combo 29725+32294 == -0.5s
 combo 490206+450119 == -0.5s
 on 311468 == -(100*getskilllv("sp_soulcurse")) ^FF0000หาร 1000^000000s

Cooldown | Dark Claw
 combo 28010+490514 == -8s
 on 15363 == -5s
 on 450296 == -5s
 on 450296 == -5s
 combo 29509+312835 == -35s
 combo 29371+313291 == -30s
 on 510044 == -30s
 combo 29604+470259 == -30s
 combo 29596+28044 == -3000*.@r ^FF0000หาร 1000^000000s
 combo 29725+32267 == -25s
 on 490037 == -25s
 on 450252 == -1m
 on 610008 == -10s
 combo 18982+490606 == -10s
 combo 4684+490596 == -10s
 on 610033 == -10s
 on 24307 == -(10000+(2000*.@r)) ^FF0000หาร 1000^000000s

Cooldown | Dark Illusion
 combo 29725+22233 == -500*(.@r/2) ^FF0000หาร 1000^000000s
 on 480134 == -4s
 on 22233 == -1.5s

Cooldown | Deep Sleep Lullaby
 combo 29371+312839 == -2s
 combo 27106+580070 == -1000*getequiprefinerycnt(eqi_armor) ^FF0000หาร 1000^000000s

Cooldown | Deft Stab
 combo 510139+400534 == -0.2s
 combo 29509+312033 == -0.2s
 combo 29509+313269 == -0.10s

Cooldown | Demonic Fire
 on 313334 == -400*getskilllv("cr_aciddemonstration") ^FF0000หาร 1000^000000s

Cooldown | Diamond Dust
 combo 32278+4318 == 5s
 on 410067 == -4s
 on 410066 == -4s
 combo 24596+24584+24585+24586+24587+24588 == -4s
 on 28984 == -4.5s
 on 540014 == -2s
 on 28394 == -2s
 on 450294 == -200*(.@r/3) ^FF0000หาร 1000^000000s
 on 450294 == -1s
 on 400187 == -1s
 on 19426 == -1s
 combo 29677+490591 == -1s
 combo 29371+313311 == -1s
 on 15462 == -100*(getskilllv("sa_advancedbook")/2) ^FF0000หาร 1000^000000s
 on 24297 == -1*((300*.@r)+1000) ^FF0000หาร 1000^000000s
 on 28567 == -0.5s

Cooldown | Diamond Storm
 combo 29371+312037 == -0.5s

Cooldown | Document of Sun Moon and Star
 combo 19396+29581 == -30s
 on 24413 == -3000*(1+.@r/2) ^FF0000หาร 1000^000000s
 combo 24412+24413 == -2s
 combo 24740+24584+24585+24586+24587+24588 == -20s
 combo 19396+29580 == -10s

Cooldown | Double Bowling Bash
 on 590112 == -0.2s
 combo 29509+313275 == -0.2s
 combo 400675+500103 == -0.2s
 combo 29509+313273 == -0.10s

Cooldown | Dragon Breath
 on 28552 == -0.5s
 combo 27088+311075 == -0.5s

Cooldown | Dragon Breath - Water
 on 28552 == -0.5s
 combo 27088+311075 == -0.5s

Cooldown | Dragon Tail
 on 28239 == -4.5s
 combo 28243+400597 == -3s
 on 311252 == -2s
 on 450386 == -2s
 combo 400237+840002 == -2s
 combo 15432+27182 == -2s
 on 400549 == -2s
 on 840002 == -2s
 on 840007 == -2s
 combo 400237+840007 == -2s
 on 19202 == -200*getskilllv("gs_grounddrift") ^FF0000หาร 1000^000000s
 on 840000 == -1s
 on 840008 == -1s
 on 28257 == -1s
 on 840001 == -1s
 on 840006 == -1s
 combo 490190+840001 == -1.5s

Cooldown | Dragonic Aura
 combo 29509+312949 == -0.3s

Cooldown | Dragonic Breath
 combo 630060+19268 == -0.2s
 combo 29509+313446 == -0.2s
 combo 630041+400529 == -0.2s
 combo 29509+313447 == -0.10s

Cooldown | Drain Life
 on 15906 == -2s
 combo 24296+24309 == -1s

Cooldown | Earth Drive
 combo 310760+27329 == -3s
 combo 32024+470294 == -2s
 combo 18983+490605 == -2.5s
 combo 18983+490222 == -2.2s
 on 310519 == -1s
 on 19196 == -1s
 combo 29509+312837 == -1s
 on 32263 == -1.5s
 on 311203 == -1.2s
 combo 18983+28977+490222 == -0.5s
 combo 490222+490377 == -0.5s

Cooldown | Earth Grave
 on 410067 == -4s
 on 410066 == -4s
 on 28984 == -4.5s
 on 311228 == -2s
 on 540014 == -2s
 on 28394 == -2s
 on 24553 == -200-100*(.@r/3) ^FF0000หาร 1000^000000s
 on 470245 == -1s
 on 420182 == -1s
 on 19426 == -1s
 combo 29371+313312 == -1s
 combo 19483+29677+490257 == -1s
 on 24310 == -1*((300*.@r)+1000) ^FF0000หาร 1000^000000s
 on 28567 == -0.5s

Cooldown | Earth Shaker
 combo 490335+490437 == -2s
 on 560034 == -1s
 on 560026 == -1s
 on 560008 == -1s
 combo 1866+470296 == -1s
 combo 18979+480149 == -100*(.@r/2) ^FF0000หาร 1000^000000s

Cooldown | Earth Strain
 combo 15083+20719+22028 == -5s
 combo 24296+24309 == -4s
 combo 29371+312808 == -3s
 combo 480276+640005 == -3s
 on 24517 == -200-(.@r/3)*100 ^FF0000หาร 1000^000000s
 on 22231 == -2.4s
 combo 22170+1620 == -2.4s
 on 640027 == -1s
 on 640011 == -1s
 on 2064 == -1s
 on 2054 == -1s
 on 2048 == -1s
 on 32266 == -0.3s

Cooldown | Effligo
 combo 29509+312304 == -0.3s
 combo 29509+312945 == -0.2s

Cooldown | Emergency Escape
 on 310315 == -1.5s
 combo 490206+450105 == -1.5s
 on 490096 == 0.5s

Cooldown | Epiclesis
 combo 4803+490650 == -10s
 combo 28430+4803 == -10s

Cooldown | Eternal Slash
 on 610089 == -0.2s
 combo 29509+313284 == -0.2s

Cooldown | Exorcism Of Malicious Soul
 combo 550155+400544 == -0.3s

Cooldown | Explosion Blaster
 combo 560072+400538 == -0.3s
 combo 400984+560081 == -0.2s
 combo 560061+400538 == -0.2s
 combo 29509+312933 == -0.10s
 combo 29509+311893 == -0.10s

Cooldown | Explosive Powder
 combo 590080+400532 == -0.2s
 combo 400674+500101 == -0.1s

Cooldown | Feint Bomb
 on 24535 == -200-100*(.@r/3) ^FF0000หาร 1000^000000s
 combo 29686+490599 == -1.8s
 combo 29603+400120+470273 == -1.8s
 combo 480161+18975 == -1.8s
 combo 32287+480024 == -0.8s

Cooldown | Fire Bolt
 combo 29371+312819 == 10s

Cooldown | Fire Rain
 on 830001 == -2s
 on 400549 == -2s
 combo 22190+28254 == -2s
 on 830007 == -1s
 on 830004 == -1s
 on 28225 == -1s
 combo 830000+450004+470003+480003+490007 == -1s
 on 400085 == -1.5s

Cooldown | First Aid
 combo 410235+420194 == 5s
 combo 410339+420343 == 5s

Cooldown | First Brand
 combo 560060+400538 == 1.5s

Cooldown | Flash Combo
 combo 1865+470296 == -1s
 combo 1846+20838 == -1s

Cooldown | Frenzy Shot
 combo 29509+311892 == -0.3s
 combo 29509+312931 == -0.2s

Cooldown | Frosty Misty
 combo 2023+400646 == -5s
 combo 19193+29330 == -5s
 combo 29683+490604 == -3s
 combo 19193+29329 == -3s
 combo 19193+29328 == -1s

Cooldown | Frozen Slash
 combo 29371+312031 == -0.3s

Cooldown | Full Throttle
 on 490641 == -25m
 on 490633 == -25m
 combo 490633+490641 == 25m
 on 311890 == -10m

Cooldown | Fury
 combo 4430+480454 == 20s
 combo 4430+480149 == 20s

Cooldown | Gale Storm
 combo 400985+700119 == -0.2s
 combo 700108+400539 == -0.2s
 combo 29509+312036 == -0.2s

Cooldown | Grand Judgement
 combo 29509+311894 == -0.3s

Cooldown | Gravitation Field
 on 2056 == -2s

Cooldown | Great Echo
 on 313336 == -300*getskilllv("wm_lesson") ^FF0000หาร 1000^000000s

Cooldown | Greed
 on 15829 == 5s
 on 15829 == -2s

Cooldown | Hack And Slasher
 combo 29509+311899 == -0.5s
 combo 400975+600071 == -0.2s
 combo 600054+400529 == -0.2s

Cooldown | Hallucination Walk
 on 470130 == -5000*getskilllv("gc_crossimpact") ^FF0000หาร 1000^000000s
 on 22134 == -5000*.@b ^FF0000หาร 1000^000000s
 on 313341 == -30000*getskilllv("gc_poisonsmoke") ^FF0000หาร 1000^000000s
 on 480134 == -20s
 on 28595 == -1m

Cooldown | Hammer of God
 on 311251 == -8s
 on 810008 == -8s
 on 810007 == -8s
 on 810002 == -8s
 on 810013 == -5s
 on 450386 == -5s
 on 28253 == -5s
 on 810000 == -4s
 on 810000 == -3s
 combo 311883+300078 == -30s
 combo 24402+24405 == -2s
 on 29647 == -20s
 on 19202 == -2000*getskilllv("gs_piercingshot") ^FF0000หาร 1000^000000s
 on 20857 == -10s
 combo 400237+810008 == -10s
 combo 400237+810002 == -10s

Cooldown | Heat Barrel
 on 830005 == -8000*.@r ^FF0000หาร 1000^000000s
 on 32304 == -5s
 on 32301 == -5s
 combo 24742+24584+24585+24586+24587+24588 == -5s
 combo 24693+24694+24695+24696+24697+24711 == -5s
 combo 24402+24405 == -4s
 on 490523 == -40s
 on 490651 == -4000*.@s ^FF0000หาร 1000^000000s
 on 28484 == -4000*.@s ^FF0000หาร 1000^000000s
 on 24402 == -1000*(1+.@r/2) ^FF0000หาร 1000^000000s

Cooldown | Hell Inferno
 on 470245 == -2s
 on 470095 == -2s
 combo 490335+490437 == -2s
 combo 26151+480154 == -1s
 combo 26158+470298 == -1.5s

Cooldown | Hell's Drive
 combo 29371+313274 == -0.3s

Cooldown | Help Angel
 combo 490206+450125 == -1m

Cooldown | Highness Heal
 on 4803 == -3s
 combo 4144+550149 == -3s
 on 470106 == -1s
 on 470105 == -1s
 combo 4850+490650 == -1s

Cooldown | Hiss
 on 450368 == -45s
 combo 490206+450106 == -45s
 on 24409 == -3000*(1+.@r/2) ^FF0000หาร 1000^000000s

Cooldown | Hogogong Strike
 combo 29509+312975 == -0.2s

Cooldown | Howling Mine
 on 840000 == -1s
 on 28226 == -1s

Cooldown | Howling of Chulho
 combo 550134+400546 == -0.3s

Cooldown | Howling of Lion
 on 410125 == -9.5s
 on 410124 == -9.5s
 on 19329 == -9.5s
 combo 19329+410125 == 9.5s
 combo 470187+480149 == -5s
 combo 470187+480149 == -3s
 on 560004 == -2s
 on 480085 == -0.2s

Cooldown | Howling of Mandragora
 combo 19190+29321 == -5s
 combo 490206+450100 == -4s
 combo 29467+29465 == -3s
 combo 19190+29320 == -1s
 on 310137 == -0.4s
 on 310137 == -0.3s
 on 310137 == -0.3s

Cooldown | Hundred Spear
 on 630015 == -2s
 on 630009 == -2s
 on 630008 == -2s
 on 470085 == -1s
 on 490319 == -1s
 on 15213 == -1s
 on 28977 == -1s
 on 470084 == -1s
 combo 1438+400648 == -1.5s
 on 32023 == -1.5s
 on 311195 == -1.5s
 on 630003 == -1.5s
 on 630012 == -1.5s
 on 630013 == -1.5s
 on 311140 == -0.5s
 on 310518 == -0.5s
 combo 18971+28977+490222 == -0.5s
 combo 490222+490377 == -0.5s
 combo 400227+630013 == -0.5s
 combo 400078+32023 == -0.5s
 on 310129 == -0.3s
 combo 400227+630012 == -0.2s
 on 32005 == .@val ^FF0000หาร 1000^000000s

Cooldown | Hyunrok Breeze
 combo 550135+400546 == -2s

Cooldown | Hyunrok Cannon
 combo 29371+313282 == -0.10s

Cooldown | Hyunrok Spirit Power
 combo 400992+550178 == -0.2s

Cooldown | Ignition Break
 combo 19491+480498 == -2s
 on 24445 == -200-100*(.@r/3) ^FF0000หาร 1000^000000s
 on 410140 == -2.5s
 on 410139 == -2.5s
 combo 410140+5396 == 2.5s
 on 311194 == -1s
 combo 4689+490596 == -1s
 combo 400226+600018 == -1s
 combo 400267+600028 == -1s
 on 400551 == -1s
 on 21051 == -1s
 combo 21018+490514 == -1.5s
 combo 18971+490605 == -1.5s
 on 600014 == -0.7s
 on 311139 == -0.5s
 combo 400226+600017 == -0.5s
 combo 24693+24694+24695+24696+24697+24698 == -0.5s
 combo 24589+24584+24585+24586+24587+24588 == -0.5s
 combo 29509+312831 == -0.3s
 on 310128 == -0.3s
 on 310517 == -0.3s
 combo 29509+313303 == -0.2s
 combo 490206+450086 == -0.10s

Cooldown | Illusion - Shadow
 combo 15431+490084 == -7s
 combo 24404+24407 == -3s
 on 24407 == -2000-(1000*(.@r/2)) ^FF0000หาร 1000^000000s

Cooldown | Illusion - Shock
 on 400548 == -7s

Cooldown | Impact Crater
 combo 29509+313283 == -0.3s
 combo 29509+312948 == -0.2s

Cooldown | Improvised Song
 on 1934 == -2s

Cooldown | Infrared Scan
 on 420324 == -2s
 on 20777 == -1s

Cooldown | Inspiration
 on 400070 == -10s
 on 19343 == -10s
 on 15892 == -10s

Cooldown | Intense Telekinesis
 combo 29725+19496 == -8000*.@r ^FF0000หาร 1000^000000s
 on 450294 == -7000*(.@r/3) ^FF0000หาร 1000^000000s
 combo 29371+312832 == -3m 5s
 on 311223 == -30s
 combo 480024+18978 == -30s
 on 311158 == -30s
 combo 2055+470318 == -30s
 on 450294 == -30s
 on 640067 == -30s
 combo 4441+470129 == -2m
 combo 490206+450111 == -2m
 combo 19272+4365 == -2m
 on 410130 == -1m 20s
 on 410129 == -1m 20s
 combo 4457+312421 == -1m 20s
 on 310331 == -1m 20s
 on 490079 == -1m 15s
 combo 29371+313318 == -1m 15s
 on 490679 == -1m 15s
 combo 29725+32266 == -1m 15s

Cooldown | Jack Frost
 combo 480276+640005 == -3s
 combo 19482+490604 == -2.5s
 on 640028 == -1s
 on 640012 == -1s
 on 640004 == -1s
 on 24514 == -1000-(.@r/2)*100 ^FF0000หาร 1000^000000s
 on 640005 == -1.5s
 combo 313354+490604 == -0.5s

Cooldown | Judgement Cross
 combo 29371+312937 == -0.2s
 combo 29371+313460 == -0.10s

Cooldown | Jupitel Thunderstorm
 combo 29371+312962 == -0.3s
 combo 550152+400545 == -0.3s
 combo 400675+550148 == -0.3s

Cooldown | King's Grace
 combo 480024+18983 == -15s

Cooldown | Kunai - Refraction
 combo 28789+400541+510172 == -0.7s

Cooldown | Kunai - Rotation
 combo 28789+400541+510172 == -0.7s
 combo 400652+610072 == -0.3s
 combo 610072+470265 == -0.2s

Cooldown | Kunai Explosion
 on 460093 == -3s
 on 24285 == -2s
 on 28737 == -1s
 combo 490206+450117 == -1s

Cooldown | Lauda Agnus
 on 550149 == -3s
 on 1586 == -3s
 combo 15082+20719+22027 == -3s
 combo 1660+2471+2569+15029 == -3s
 combo 1657+2471+2569+15029 == -2s

Cooldown | Lauda Ramus
 on 550149 == -3s
 on 1586 == -3s
 combo 15082+20719+22027 == -3s
 combo 1660+2471+2569+15029 == -3s
 combo 1657+2471+2569+15029 == -2s

Cooldown | Light of Moon
 combo 29509+310975 == -10s

Cooldown | Light of Star
 on 400083 == 30s
 combo 29509+312826 == -10s

Cooldown | Light of Sun
 combo 29509+310974 == -10s

Cooldown | Lightning Bolt
 combo 29371+312819 == 10s

Cooldown | Lightning Land
 combo 29371+312303 == -2s
 combo 470327+550023 == -1s
 combo 29371+312942 == -0.5s
 on 460097 == -0.3s
 on 460097 == -0.3s

Cooldown | Lightning Walk
 on 450297 == -1s

Cooldown | Lope
 combo 27152+450388 == -6s
 on 313344 == -500*getskilllv("su_scratch") ^FF0000หาร 1000^000000s
 combo 4097+450388 == -1s
 on 15430 == -1000*(.@r/4) ^FF0000หาร 1000^000000s

Cooldown | Lord of Vermilion
 on 400551 == -4s
 on 400087 == -4s

Cooldown | Lunatic Carrot Beat
 on 450388 == -5s
 combo 24739+24584+24585+24586+24587+24588 == -5s
 combo 24408+24409 == -3s
 on 490393 == -2s
 on 490392 == -2s
 on 480075 == 200*getskilllv("su_spiritoflife") ^FF0000หาร 1000^000000s
 combo 22257+19205 == -1s
 on 400550 == -0.5s
 on 400086 == -0.5s
 combo 490206+450106 == -0.10s
 on 24316 == -(.@r*200) ^FF0000หาร 1000^000000s

Cooldown | Madness Crusher
 combo 29509+312040 == -0.5s

Cooldown | Magma Eruption
 on 28127 == -3s
 on 28138 == -1s
 combo 29509+312834 == -0.2s

Cooldown | Magnus Exorcismus
 combo 26161+470318 == -4s

Cooldown | Masquerade - Enervation
 on 18975 == -1s

Cooldown | Masquerade - Gloomy
 on 450296 == -1s
 on 18975 == -1s

Cooldown | Masquerade - Ignorance
 on 450296 == -1s
 on 18975 == -1s

Cooldown | Masquerade - Laziness
 on 18975 == -1s

Cooldown | Masquerade - Unlucky
 on 18975 == -1s

Cooldown | Masquerade - Weakness
 on 18975 == -1s

Cooldown | Mass Spiral
 on 20857 == -2s

Cooldown | Massive Flame Blaster
 combo 560061+400538 == -2s
 combo 400695+560067 == -1.2s
 combo 29509+311893 == -0.2s
 combo 29509+312932 == -0.10s

Cooldown | Mayhemic Thorns
 on 500120 == -0.2s
 combo 500093+400532 == -0.2s
 combo 400674+500102 == -0.1s

Cooldown | Mega Sonic Blow
 combo 29509+313275 == -0.2s
 combo 29509+313273 == -0.10s

Cooldown | Metallic Sound
 on 311242 == -2s
 on 570018 == -2s
 combo 490095+480024 == -2s
